flag_row,repository,project,antipattern,relative_path,line_from,line_to,source_role,source_sha256,source_file_exists,in_source_manifest,source_frame_status,span_in_bounds,fragment_alignment,fragment_found_in_source_file
1,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Account.java,56,56,generated schema,1c95074e923a780effbb27274949b1b7ac68db654916eee5606644ba8cb89ece,true,true,src,true,trimmed_exact,true
2,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Keyless Entry,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/AssociativeListenerMusic.java,58,58,generated schema,3ce09fdf64567a3a6edcfee8984973597a6660cf7e75869ffa917aaa6e4128d7,true,true,src,true,trimmed_exact,true
3,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Author.java,58,58,generated schema,0379fd7cfb77d4b8ac8caac18eda972ff0321ed816f1ece10ae5f88d2ecd4807,true,true,src,true,trimmed_exact,true
4,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Listener.java,58,58,generated schema,8ecfeca098e17051982b9d6aab6570515e8f5f41ec1bc3cab6cde583af26f3ad,true,true,src,true,trimmed_exact,true
5,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Manager.java,58,58,generated schema,7b965e4ecb0540b9a808f86b8a5ed0cef75d73d8ca206d4eda6267c9a738a317,true,true,src,true,trimmed_exact,true
6,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Music.java,58,58,generated schema,c0853deb3acddc2be6c8d67ddd5a7e104eec5c4c53984618a62abaf75170d4d2,true,true,src,true,trimmed_exact,true
7,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/AuthorRepositoryImpl.java,22,22,application/query source,655d702a750e67ba4f45f19763e21ac78c1738aa3de765537dc8bb0f77542bfa,true,true,src,true,trimmed_exact,true
8,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/AuthorRepositoryImpl.java,34,34,application/query source,655d702a750e67ba4f45f19763e21ac78c1738aa3de765537dc8bb0f77542bfa,true,true,src,true,trimmed_exact,true
9,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/AuthorRepositoryImpl.java,67,67,application/query source,655d702a750e67ba4f45f19763e21ac78c1738aa3de765537dc8bb0f77542bfa,true,true,src,true,trimmed_exact,true
10,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ListenerRepositoryImpl.java,20,20,application/query source,caaffd5f3b0c4e3805adc5bcf1d959909353d04fdd85daf2e886b63297ad8a77,true,true,src,true,trimmed_exact,true
11,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ListenerRepositoryImpl.java,27,27,application/query source,caaffd5f3b0c4e3805adc5bcf1d959909353d04fdd85daf2e886b63297ad8a77,true,true,src,true,trimmed_exact,true
12,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ListenerRepositoryImpl.java,82,82,application/query source,caaffd5f3b0c4e3805adc5bcf1d959909353d04fdd85daf2e886b63297ad8a77,true,true,src,true,trimmed_exact,true
13,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ManagerRepositoryImpl.java,21,21,application/query source,9665eca410856c94b564c4596ac3f586982c51fc99e3c582ab0a729aed58015a,true,true,src,true,trimmed_exact,true
14,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ManagerRepositoryImpl.java,30,30,application/query source,9665eca410856c94b564c4596ac3f586982c51fc99e3c582ab0a729aed58015a,true,true,src,true,trimmed_exact,true
15,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ManagerRepositoryImpl.java,63,63,application/query source,9665eca410856c94b564c4596ac3f586982c51fc99e3c582ab0a729aed58015a,true,true,src,true,trimmed_exact,true
16,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/MusicRepositoryImpl.java,20,20,application/query source,093fb6360d3b23f877fc1cc962d3539d5cdf952542ec1b4513596480d105c6df,true,true,src,true,trimmed_exact,true
17,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/MusicRepositoryImpl.java,30,30,application/query source,093fb6360d3b23f877fc1cc962d3539d5cdf952542ec1b4513596480d105c6df,true,true,src,true,trimmed_exact,true
18,4el1k/Spring-Api-Hibernate-JOOQ,4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/MusicRepositoryImpl.java,67,67,application/query source,093fb6360d3b23f877fc1cc962d3539d5cdf952542ec1b4513596480d105c6df,true,true,src,true,trimmed_exact,true
19,66xc1/lazy-punch,66xc1_lazy-punch,ID Required,src/main/java/com/punch/entity/tables/OaPunchLog.java,53,53,generated schema,307212b4a74c9b52a62864aac44a66938b3ea1204708b027c33131dcc0555dfa,true,true,src,true,trimmed_exact,true
20,66xc1/lazy-punch,66xc1_lazy-punch,Keyless Entry,src/main/java/com/punch/entity/tables/OaPunchLog.java,58,58,generated schema,307212b4a74c9b52a62864aac44a66938b3ea1204708b027c33131dcc0555dfa,true,true,src,true,trimmed_exact,true
21,66xc1/lazy-punch,66xc1_lazy-punch,ID Required,src/main/java/com/punch/entity/tables/OaUser.java,55,55,generated schema,6f30736fba9a90012780dd6d73c5cd20dfb72b3808eaf5b2b451a9be81170734,true,true,src,true,trimmed_exact,true
