analysis_label,antipattern,eligible_source_role,repository,eligible_files,flags,flagged_files,percent_eligible_files_flagged,flags_per_100_eligible_files,flags_per_flagged_file
Implicit Columns [application/query source],Implicit Columns,application/query source,4el1k/Spring-Api-Hibernate-JOOQ,6,12,4,66.666667,200.000000,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,66xc1/lazy-punch,5,5,4,80.000000,100.000000,1.250000
Implicit Columns [application/query source],Implicit Columns,application/query source,ABCLV/ABLV_IngSW,3,2,1,33.333333,66.666667,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,APSfurizon/fz-backend,97,2,2,2.061856,2.061856,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,AWS-Cloud-Community-LPU/mailing-service,3,1,1,33.333333,33.333333,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,AffectedArc07/ParaUtil,3,4,2,66.666667,133.333333,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,AisleiAvila/empresa,9,5,3,33.333333,55.555556,1.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,AkaLrz/E-commercial-Platfrom,6,6,4,66.666667,100.000000,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,AlexSpeal/Tracking-Bot,5,7,3,60.000000,140.000000,2.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,Alexandr-Kokorin/JavaCourse2024,5,7,3,60.000000,140.000000,2.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,AlexzTj/p2p,6,5,2,33.333333,83.333333,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,AlphaFoxz/oneboot,7,3,1,14.285714,42.857143,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,AnastasiaPleshkova/tnkf-tracker,5,7,2,40.000000,140.000000,3.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,AndrewSalygin/LinkTracker-Tinkoff,4,8,3,75.000000,200.000000,2.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,Andrey582/NotificationBot,8,9,3,37.500000,112.500000,3.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Ani512/online-tutoring-app-backend,11,40,5,45.454545,363.636364,8.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,AntonioRusan/LinkTracker,8,10,5,62.500000,125.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Apress/beginning-jooq,86,50,20,23.255814,58.139535,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,Apress/pro-spring-6,7,12,4,57.142857,171.428571,3.000000
